                  mean           sd          2.5%           25%           50%           75%         97.5%
beta[1]  -1.358153e+01 3.029947e+01 -7.255671e+01 -3.379706e+01 -1.381884e+01  7.084666e+00  4.571494e+01
beta[2]  -4.989491e+00 1.942239e+00 -8.823751e+00 -6.276775e+00 -5.025102e+00 -3.693644e+00 -1.185319e+00
beta[3]   9.268173e-01 9.299517e-02  7.427860e-01  8.644245e-01  9.251744e-01  9.894557e-01  1.110326e+00
beta[4]  -2.359627e+00 6.176257e-01 -3.620269e+00 -2.774598e+00 -2.351893e+00 -1.938178e+00 -1.165928e+00
beta[5]   1.967303e+00 2.414651e-01  1.503819e+00  1.801608e+00  1.963975e+00  2.130813e+00  2.436509e+00
beta[6]   5.895083e-01 1.433020e-01  3.146923e-01  4.913880e-01  5.910810e-01  6.867492e-01  8.707016e-01
beta[7]   1.638351e+00 6.035634e-01  4.830653e-01  1.238574e+00  1.631586e+00  2.032486e+00  2.835600e+00
beta[8]   3.300103e+00 3.441460e-01  2.606289e+00  3.062373e+00  3.303500e+00  3.537055e+00  3.969839e+00
beta[9]   3.254226e+00 3.490601e-01  2.556605e+00  3.013351e+00  3.259320e+00  3.494342e+00  3.922528e+00
beta[10]  2.530409e+00 4.633645e-01  1.640912e+00  2.215117e+00  2.525534e+00  2.843922e+00  3.445205e+00
beta[11]  4.546942e+00 5.055900e-01  3.550954e+00  4.204817e+00  4.541056e+00  4.896699e+00  5.517551e+00
beta[12]  2.397960e+00 5.002051e-01  1.403808e+00  2.070406e+00  2.396949e+00  2.733984e+00  3.389212e+00
beta[13]  2.751675e+00 5.300187e-01  1.695479e+00  2.400740e+00  2.746858e+00  3.104689e+00  3.787616e+00
beta[14] -9.319533e-01 9.959794e-02 -1.125466e+00 -1.000381e+00 -9.306891e-01 -8.639933e-01 -7.393249e-01
beta[15]  1.036946e+00 1.388344e-01  7.675661e-01  9.440155e-01  1.038812e+00  1.128045e+00  1.310906e+00
beta[16] -1.100038e+00 1.097771e-01 -1.309760e+00 -1.175188e+00 -1.100363e+00 -1.026381e+00 -8.849426e-01
beta[17] -1.194947e+00 1.053696e-01 -1.405699e+00 -1.263819e+00 -1.193632e+00 -1.124291e+00 -9.896830e-01
beta[18] -3.396437e-01 8.146940e-02 -4.976850e-01 -3.956190e-01 -3.376620e-01 -2.855951e-01 -1.764672e-01
beta[19]  5.507511e+00 1.813182e+00  1.963630e+00  4.291567e+00  5.547411e+00  6.716574e+00  9.109833e+00
beta[20] -6.456925e-01 6.829039e-02 -7.753951e-01 -6.920194e-01 -6.452668e-01 -5.978085e-01 -5.137295e-01
beta[21] -1.976132e+01 1.362677e+00 -2.240903e+01 -2.070015e+01 -1.977809e+01 -1.885304e+01 -1.705908e+01
beta[22]  1.359955e+01 2.416077e+00  8.780993e+00  1.202017e+01  1.359969e+01  1.522574e+01  1.833485e+01
beta[23]  1.656891e-01 7.528299e-02  1.896465e-02  1.132446e-01  1.664555e-01  2.182549e-01  3.091388e-01
beta[24] -6.251612e-01 1.122708e-01 -8.439518e-01 -7.016134e-01 -6.248154e-01 -5.482645e-01 -4.034206e-01
beta[25] -2.097525e-01 6.397225e-02 -3.329846e-01 -2.531691e-01 -2.093428e-01 -1.654276e-01 -8.545773e-02
beta[26]  1.233680e+00 2.860442e-01  6.604442e-01  1.046671e+00  1.237422e+00  1.424169e+00  1.782605e+00
beta[27] -4.218178e-01 7.179296e-02 -5.599402e-01 -4.730310e-01 -4.215758e-01 -3.733491e-01 -2.793434e-01
beta[28] -8.315634e-02 3.025113e-02 -1.405711e-01 -1.046209e-01 -8.277802e-02 -6.232613e-02 -2.473183e-02
beta[29] -5.173022e-02 1.096153e-02 -7.296050e-02 -5.912266e-02 -5.163456e-02 -4.432543e-02 -3.034209e-02
beta[30]  4.622358e-02 8.332299e-03  2.969839e-02  4.065685e-02  4.636177e-02  5.185897e-02  6.230815e-02
beta[31]  1.440606e+01 6.745569e+00  1.595417e+00  9.918019e+00  1.425310e+01  1.892199e+01  2.764362e+01
beta[32] -2.411714e+00 4.233659e-01 -3.240849e+00 -2.693554e+00 -2.407871e+00 -2.129854e+00 -1.569556e+00
deviance  2.094338e+04 8.106650e+00  2.092952e+04  2.093772e+04  2.094265e+04  2.094835e+04  2.096090e+04
tau       4.008760e-03 1.151917e-04  3.783374e-03  3.930578e-03  4.010205e-03  4.085625e-03  4.233286e-03
