                  mean           sd          2.5%           25%           50%           75%         97.5%
beta[1]  -1.287816e+01 3.040608e+01 -7.253080e+01 -3.310877e+01 -1.316734e+01  7.483870e+00  4.595968e+01
beta[2]  -5.236557e+00 2.028411e+00 -9.171256e+00 -6.632668e+00 -5.199075e+00 -3.870551e+00 -1.224855e+00
beta[3]   9.301412e-01 9.395369e-02  7.437143e-01  8.678158e-01  9.311279e-01  9.928333e-01  1.111814e+00
beta[4]  -2.475610e+00 6.280810e-01 -3.699783e+00 -2.898198e+00 -2.452723e+00 -2.051112e+00 -1.287867e+00
beta[5]   2.059001e+00 2.676772e-01  1.548492e+00  1.877369e+00  2.061751e+00  2.236670e+00  2.576808e+00
beta[6]   6.192229e-01 1.615457e-01  2.945460e-01  5.113305e-01  6.201654e-01  7.269614e-01  9.326250e-01
beta[7]  remove -1.639809e-01 2.003443e-01 -5.476359e-01 -2.996756e-01 -1.642830e-01 -2.904443e-02  2.314139e-01  SEX255214	Female persons, percent, 2014
beta[8]   1.676915e+00 6.032387e-01  4.821184e-01  1.273214e+00  1.673309e+00  2.087602e+00  2.860734e+00
beta[9]   3.334698e+00 3.538866e-01  2.644208e+00  3.099509e+00  3.334861e+00  3.571655e+00  4.006544e+00
beta[10]  3.291599e+00 3.634915e-01  2.573014e+00  3.046084e+00  3.293519e+00  3.532494e+00  3.988636e+00
beta[11]  2.594160e+00 4.818628e-01  1.649313e+00  2.270220e+00  2.599829e+00  2.920103e+00  3.508259e+00
beta[12]  4.619267e+00 5.110788e-01  3.614450e+00  4.267449e+00  4.616719e+00  4.968825e+00  5.631958e+00
beta[13]  2.387456e+00 4.941215e-01  1.414125e+00  2.047679e+00  2.385654e+00  2.728568e+00  3.351747e+00
beta[14]  2.747308e+00 5.266907e-01  1.713437e+00  2.382519e+00  2.742166e+00  3.109037e+00  3.772069e+00
beta[15] -9.149123e-01 1.048508e-01 -1.119350e+00 -9.841890e-01 -9.129953e-01 -8.458277e-01 -7.088849e-01
beta[16]  1.000997e+00 1.435960e-01  7.194371e-01  9.034094e-01  1.004165e+00  1.097469e+00  1.281180e+00
beta[17] -1.097878e+00 1.093709e-01 -1.309056e+00 -1.173963e+00 -1.098674e+00 -1.024620e+00 -8.806799e-01
beta[18] -1.214162e+00 1.075185e-01 -1.424268e+00 -1.287244e+00 -1.211511e+00 -1.143611e+00 -1.002115e+00
beta[19] -3.369412e-01 8.527830e-02 -5.052910e-01 -3.949825e-01 -3.372194e-01 -2.791040e-01 -1.691531e-01
beta[20]  5.637810e+00 1.888035e+00  1.932793e+00  4.378658e+00  5.631170e+00  6.924771e+00  9.270104e+00
beta[21] remove?? -8.622129e-02 9.196842e-02 -2.689688e-01 -1.477074e-01 -8.676187e-02 -2.497014e-02  9.180710e-02  LFE305213	Mean travel time to work (minutes), workers age 16+, 2009-2013
beta[22] -6.635075e-01 7.086524e-02 -7.982729e-01 -7.111734e-01 -6.648513e-01 -6.169156e-01 -5.244218e-01
beta[23] -1.936931e+01 1.399645e+00 -2.212329e+01 -2.031127e+01 -1.935114e+01 -1.844742e+01 -1.662977e+01
beta[24]  1.378979e+01 2.439934e+00  9.025194e+00  1.214189e+01  1.380847e+01  1.545455e+01  1.863720e+01
beta[25]  1.642476e-01 7.951655e-02  8.399966e-03  1.111083e-01  1.633056e-01  2.181178e-01  3.229085e-01
beta[26] -6.141507e-01 1.158146e-01 -8.429269e-01 -6.913959e-01 -6.160185e-01 -5.351040e-01 -3.888603e-01
beta[27]  1.673096e-04 1.109001e-04 -5.273087e-05  9.394448e-05  1.683308e-04  2.398764e-04  3.893209e-04
beta[28] -2.022174e-01 6.477444e-02 -3.298861e-01 -2.453044e-01 -2.018729e-01 -1.590198e-01 -7.843416e-02
beta[29] remove -4.799612e-02 1.466109e-01 -3.339248e-01 -1.495973e-01 -4.616269e-02  5.159108e-02  2.357034e-01  SBO115207	American Indian- and Alaska Native-owned firms, percent, 2007
beta[30]  1.218226e+00 2.996023e-01  6.439727e-01  1.011572e+00  1.218003e+00  1.422027e+00  1.805003e+00
beta[31] -4.217306e-01 7.203086e-02 -5.623122e-01 -4.721702e-01 -4.214556e-01 -3.733936e-01 -2.795502e-01
beta[32] -8.054261e-02 3.078118e-02 -1.412358e-01 -1.014788e-01 -8.038885e-02 -5.985626e-02 -2.048832e-02
beta[33] -5.659420e-02 1.129020e-02 -7.851379e-02 -6.418676e-02 -5.665702e-02 -4.868362e-02 -3.482946e-02
beta[34]  4.098228e-02 1.031490e-02  2.067585e-02  3.391142e-02  4.097343e-02  4.802394e-02  6.129695e-02
beta[35]  1.372664e+01 6.860895e+00  4.069805e-01  8.869320e+00  1.376772e+01  1.825114e+01  2.720879e+01
beta[36] -6.728584e-04 6.335157e-04 -1.931334e-03 -1.110020e-03 -6.708513e-04 -2.370172e-04  5.576212e-04
beta[37] -2.199097e+00 4.568983e-01 -3.105956e+00 -2.505843e+00 -2.195400e+00 -1.880077e+00 -1.335005e+00
deviance  2.094442e+04 8.692066e+00  2.092941e+04  2.093819e+04  2.094399e+04  2.094997e+04  2.096285e+04
tau       4.009497e-03 1.139916e-04  3.788675e-03  3.933472e-03  4.008525e-03  4.084664e-03  4.238728e-03
