                  mean           sd          2.5%           25%           50%           75%         97.5%
beta[1]  -1.164707e+01 3.119901e+01 -7.408661e+01 -3.249291e+01 -1.183506e+01  9.105323e+00  4.900736e+01
beta[2]  -5.293810e+00 1.976804e+00 -9.066126e+00 -6.621274e+00 -5.287551e+00 -3.951665e+00 -1.490956e+00
beta[3]   9.247769e-01 9.220548e-02  7.450271e-01  8.606775e-01  9.244704e-01  9.868366e-01  1.103509e+00
beta[4]  -2.395524e+00 6.209011e-01 -3.595433e+00 -2.809493e+00 -2.418665e+00 -1.976830e+00 -1.161102e+00
beta[5]   1.984064e+00 2.462364e-01  1.502495e+00  1.817016e+00  1.983627e+00  2.155450e+00  2.462932e+00
beta[6]   5.748237e-01 1.431658e-01  3.061986e-01  4.773586e-01  5.736489e-01  6.668369e-01  8.595767e-01
beta[7]   1.654480e+00 5.985427e-01  4.712263e-01  1.262841e+00  1.664529e+00  2.059371e+00  2.816920e+00
beta[8]   3.300369e+00 3.531550e-01  2.610714e+00  3.062637e+00  3.300835e+00  3.535937e+00  3.995738e+00
beta[9]   3.252394e+00 3.569707e-01  2.540576e+00  3.010340e+00  3.250195e+00  3.492209e+00  3.947972e+00
beta[10]  2.560692e+00 4.778913e-01  1.629822e+00  2.230434e+00  2.553674e+00  2.887438e+00  3.502917e+00
beta[11]  4.560900e+00 5.081692e-01  3.564093e+00  4.228920e+00  4.559650e+00  4.893750e+00  5.563285e+00
beta[12]  2.385778e+00 4.899163e-01  1.428268e+00  2.062614e+00  2.380079e+00  2.704838e+00  3.321618e+00
beta[13]  2.736035e+00 5.220566e-01  1.721609e+00  2.396226e+00  2.732510e+00  3.082925e+00  3.749339e+00
beta[14] -9.394422e-01 1.037685e-01 -1.145571e+00 -1.008675e+00 -9.394499e-01 -8.676100e-01 -7.367958e-01
beta[15]  1.015652e+00 1.399362e-01  7.495020e-01  9.202171e-01  1.013872e+00  1.110436e+00  1.293285e+00
beta[16] -1.098639e+00 1.106168e-01 -1.320775e+00 -1.171727e+00 -1.097757e+00 -1.023863e+00 -8.845243e-01
beta[17] -1.195109e+00 1.077274e-01 -1.403334e+00 -1.267388e+00 -1.196259e+00 -1.121087e+00 -9.814528e-01
beta[18] -3.438581e-01 8.084055e-02 -5.059002e-01 -3.981344e-01 -3.428786e-01 -2.888282e-01 -1.851634e-01
beta[19]  5.676903e+00 1.845023e+00  2.074949e+00  4.417070e+00  5.674867e+00  6.901880e+00  9.251570e+00
beta[20] -6.509482e-01 6.952022e-02 -7.866134e-01 -6.958819e-01 -6.527440e-01 -6.042562e-01 -5.140324e-01
beta[21] -1.971841e+01 1.365172e+00 -2.236892e+01 -2.064232e+01 -1.972262e+01 -1.878638e+01 -1.703968e+01
beta[22]  1.358381e+01 2.451231e+00  8.774404e+00  1.193223e+01  1.359781e+01  1.526076e+01  1.842117e+01
beta[23]  1.647139e-01 7.568305e-02  1.152156e-02  1.147005e-01  1.657357e-01  2.152514e-01  3.102734e-01
beta[24] -6.211792e-01 1.152067e-01 -8.548621e-01 -6.975751e-01 -6.203088e-01 -5.442500e-01 -3.934675e-01
beta[25]  remove  1.652868e-04 1.128792e-04 -5.442285e-05  8.998404e-05  1.642971e-04  2.409392e-04  3.889987e-04 BZA010213	Private nonfarm establishments, 2013 
beta[26] -2.092421e-01 6.363015e-02 -3.303293e-01 -2.537414e-01 -2.091408e-01 -1.656206e-01 -8.032883e-02
beta[27]  1.214523e+00 2.951444e-01  6.346343e-01  1.016794e+00  1.211435e+00  1.414774e+00  1.806385e+00
beta[28] -4.243018e-01 7.179046e-02 -5.663363e-01 -4.731967e-01 -4.248021e-01 -3.761762e-01 -2.835042e-01
beta[29] -8.203380e-02 3.086489e-02 -1.432365e-01 -1.028887e-01 -8.118782e-02 -6.104123e-02 -2.183669e-02
beta[30] -5.530225e-02 1.104518e-02 -7.749905e-02 -6.274847e-02 -5.529462e-02 -4.797390e-02 -3.404500e-02
beta[31]  4.026090e-02 1.062110e-02  1.986248e-02  3.316054e-02  4.016198e-02  4.718541e-02  6.124859e-02
beta[32]  1.483193e+01 6.701506e+00  2.003672e+00  1.030562e+01  1.471745e+01  1.933676e+01  2.806140e+01
beta[33]  remove  -7.001962e-04 6.454408e-04 -1.986709e-03 -1.138877e-03 -6.942133e-04 -2.659875e-04  5.637565e-04  AFN120207	Accommodation and food services sales, 2007 ($1,000)
beta[34] -2.391320e+00 4.265687e-01 -3.239159e+00 -2.672898e+00 -2.389552e+00 -2.108196e+00 -1.547201e+00
deviance  2.094336e+04 8.387227e+00  2.092923e+04  2.093724e+04  2.094258e+04  2.094859e+04  2.096205e+04
tau       4.007014e-03 1.143943e-04  3.788456e-03  3.928260e-03  4.005036e-03  4.084153e-03  4.236725e-03
